direnv: loading /nas/staff/data_work/manuel/cloned_repos/visualisation/loss-landscape/.envrc
direnv: loading ~/myVisualisationEnv/.envrc
direnv: using flake path:/home/milliman/myVisualisationEnv/.nix
direnv: nix-direnv: using cached dev shell
[38;5;202m🔨 Welcome to DeepLearningGPU[0m

[1m[general commands][0m

  julia  - High-level, high-performance, dynamic language for technical computing
  menu   - prints this menu
  poetry - Python dependency management and packaging made easy.

direnv: export +CPPFLAGS +DEVSHELL_DIR +IN_NIX_SHELL +JULIA_PROJECT +LDFLAGS +NIXPKGS_PATH +POETRY_VIRTUALENVS_IN_PROJECT +PRJ_DATA_DIR +PRJ_ROOT +VIRTUAL_ENV +VIRTUAL_ENV_PROMPT +XLA_FLAGS +name ~LD_LIBRARY_PATH ~PATH ~XDG_DATA_DIRS
Rank 0 use GPU 0 of 1 GPUs on eihw-gpu7
-------------------------------------------------------------
rank: 0
-------------------------------------------------------------
/home/milliman/myVisualisationEnv/.venv/lib/python3.10/site-packages/torch/utils/data/dataloader.py:554: UserWarning: This DataLoader will create 4 worker processes in total. Our suggested max number of worker in current system is 2, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(_create_warning_msg(
-------------------------------------------------------------------
setup_direction
-------------------------------------------------------------------
Setting up the plotting directions...
direction file created: /nas/staff/data_work/manuel/cloned_repos/visualisation/loss-landscape/model_selection_interspeech_paper/1interspeech_test/RQ2_2ndOrderOptimizer/cnn10_None_SGD_0-001_16_50_44_None/state.pth.tar_weights_xignore=biasbn_xnorm=filter.h5
Computing 201 values for rank 0
Evaluating rank 0  0/201  (0.0%)  coord=-0.1 	train_loss= 0.219 	train_acc=91.56 	time=21.41 	sync=0.00
Evaluating rank 0  1/201  (0.5%)  coord=-0.099 	train_loss= 0.218 	train_acc=91.62 	time=19.58 	sync=0.00
Evaluating rank 0  2/201  (1.0%)  coord=-0.098 	train_loss= 0.216 	train_acc=91.71 	time=19.61 	sync=0.00
Evaluating rank 0  3/201  (1.5%)  coord=-0.097 	train_loss= 0.215 	train_acc=91.73 	time=19.60 	sync=0.00
Evaluating rank 0  4/201  (2.0%)  coord=-0.096 	train_loss= 0.214 	train_acc=91.79 	time=19.46 	sync=0.00
Evaluating rank 0  5/201  (2.5%)  coord=-0.095 	train_loss= 0.213 	train_acc=91.89 	time=19.79 	sync=0.00
Evaluating rank 0  6/201  (3.0%)  coord=-0.094 	train_loss= 0.211 	train_acc=91.98 	time=19.44 	sync=0.00
Evaluating rank 0  7/201  (3.5%)  coord=-0.093 	train_loss= 0.210 	train_acc=92.01 	time=19.73 	sync=0.00
Evaluating rank 0  8/201  (4.0%)  coord=-0.092 	train_loss= 0.209 	train_acc=92.04 	time=19.88 	sync=0.00
Evaluating rank 0  9/201  (4.5%)  coord=-0.091 	train_loss= 0.208 	train_acc=92.06 	time=19.84 	sync=0.00
Evaluating rank 0  10/201  (5.0%)  coord=-0.09000000000000001 	train_loss= 0.207 	train_acc=92.11 	time=19.76 	sync=0.00
Evaluating rank 0  11/201  (5.5%)  coord=-0.08900000000000001 	train_loss= 0.206 	train_acc=92.18 	time=19.52 	sync=0.00
Evaluating rank 0  12/201  (6.0%)  coord=-0.08800000000000001 	train_loss= 0.204 	train_acc=92.26 	time=19.66 	sync=0.00
Evaluating rank 0  13/201  (6.5%)  coord=-0.08700000000000001 	train_loss= 0.203 	train_acc=92.34 	time=19.62 	sync=0.00
